"name","price","restaurant_id"
"Salmon burger","17","10"
"Hawaii burger","15","10"
"Barbecue burger","17","10"
"Date Pancakes","20","11"
"Szechwan Chilli Chicken","16","11"
"Chicken with Chestnuts","11","11"
"Spring Rolls","19","11"
"Caprese Salad with Pesto Sauce","18","11"
"Mushroom Risotto","15","11"
"Bruschetta","19","11"
"Focaccia Bread","19","11"
"Tiramisu - The 'pick-me-up' ca","18","11"
"Vacuum coffee","17","11"
"Espresso","10","11"
"Caffè Americano","12","11"
"Cafe Zorro","12","11"
"Pineapple","18","12"
"Spinach","18","12"
"Mushrooms","13","12"
"Extra cheese","17","12"
"Clam Chowder","18","12"
"Texas Barbecue","14","12"
"Tacos","15","12"
"Drop Biscuits and Sausage Grav","12","12"
"Apple Pie","19","12"
"Guillermo","14","12"
"Ristretto","20","12"
"Vacuum coffee","19","12"
"Espresso Romano","19","12"
"Caffè crema","18","12"
"Stir Fried Tofu with Rice","13","12"
"Hot and Sour Soup","9","12"
"Chicken with Chestnuts","18","12"
"Szechwan Chilli Chicken","13","12"
"California burger","14","13"
"Buffalo burger","12","13"
"Teriyaki burger","14","13"
"Veggie burger","9","13"
"Butter burger","14","13"
"Ratatouille","16","13"
"Cassoulet","14","13"
"Flamiche","13","13"
"Nicoise salad","11","13"
"Soupe à l'oignon","17","13"
"Moka","17","13"
"Ristretto","19","13"
"Cafe Zorro","13","13"
"Caffè crema","10","13"
"Espresso","19","13"
"Focaccia Bread","13","13"
"Tiramisu - The 'pick-me-up' ca","19","13"
"Panna Cotta With Raspberry Cou","15","13"
"Pasta Carbonara","11","13"
"Mushrooms","14","14"
"Bacon","19","14"
"Black olives","15","14"
"Extra cheese","16","14"
"Sausage","16","14"
"Quick Noodles","10","14"
"Date Pancakes","11","14"
"Chicken with Chestnuts","9","14"
"Spring Rolls","10","14"
"Confit de canard","20","14"
"Cassoulet","13","14"
"Tarte tatin","19","14"
"Nicoise salad","14","14"
"Focaccia Bread","12","14"
"Panna Cotta With Raspberry Cou","17","14"
"Panzenella","14","14"
"Pasta Con Pomodoro E Basilico","13","14"
"Salmon burger","16","15"
"California burger","18","15"
"Barbecue burger","10","15"
"Buffalo burger","10","15"
"Teriyaki burger","16","15"
"Focaccia Bread","16","15"
"Bruschetta","12","15"
"Panna Cotta With Raspberry Cou","20","15"
"Mushroom Risotto","15","15"
"Dim Sums","14","15"
"Quick Noodles","11","15"
"Stir Fried Tofu with Rice","18","15"
"Szechwan Chilli Chicken","14","15"
"Vacuum coffee","20","15"
"Moka","9","15"
"Caffè Americano","12","15"
"Café Cubano","16","15"
"Vacuum coffee","13","16"
"Guillermo","11","16"
"Cafe Zorro","16","16"
"Espresso Romano","17","16"
"Moka","9","16"
"Nicoise salad","19","16"
"Coq au vin","13","16"
"Soupe à l'oignon","13","16"
"Tarte tatin","19","16"
"Drop Biscuits and Sausage Grav","17","16"
"Hominy Grits","15","16"
"Bagel and Lox","15","16"
"Brittle","14","16"
"Clam Chowder","15","16"
"Coq au vin","9","17"
"Confit de canard","16","17"
"Tarte tatin","14","17"
"Flamiche","15","17"
"Hot and Sour Soup","19","17"
"Quick Noodles","17","17"
"Shitake Fried Rice with Water ","10","17"
"Wok Tossed Veggies in Honey an","9","17"
"Chicken with Chestnuts","18","17"
"Extra cheese","18","17"
"Mushrooms","19","17"
"Pineapple","14","17"
"Onions","12","17"
"Spinach","18","17"
"Margherita Pizza","9","18"
"Focaccia Bread","18","18"
"Pasta Carbonara","10","18"
"Bruschetta","13","18"
"Panzenella","15","18"
"Ristretto","20","18"
"Café Cubano","11","18"
"Vacuum coffee","19","18"
"Caffè crema","13","18"
"Butter burger","20","18"
"Hawaii burger","15","18"
"Teriyaki burger","11","18"
"Veggie burger","10","18"
"Hominy Grits","9","19"
"Drop Biscuits and Sausage Grav","11","19"
"Bagel and Lox","13","19"
"Deep-Dish Pizza","18","19"
"Hamburger","9","19"
"Cheeseburger","16","19"
"Hawaii burger","20","19"
"Buffalo burger","9","19"
"Veggie burger","14","19"
"Quick Noodles","9","19"
"Stir Fried Tofu with Rice","10","19"
"Hot and Sour Soup","10","19"
"Shitake Fried Rice with Water ","18","19"
"Chicken with Chestnuts","10","19"
"Bruschetta","15","19"
"Pasta Carbonara","20","19"
"Caprese Salad with Pesto Sauce","17","19"
"Tiramisu - The 'pick-me-up' ca","16","19"
