"id","name","bid","bname","stars","date","text"
"0e5zlXSmntGSNDcsUCCCuw","Jonathan","tRVx2c89coruPRwYhGTcTw","Yuzu","2","2016-12-23 00:00:00","Everything I read about the atmosphere of Yuzu seems appealing to me. Unfortunately, tonight I chose delivery and ordered the Carnivore Ramen. When it was delivered, everything was there, but the contents were far below what I expected in quality. The noodles definitely did not appear the Ohio City Ramen that was promised on the menu, but appeared to be just grocery store spaghetti. All of this aside, the ramen was still poorer quality than I would have expected. The flavor and the contents were nothing special, and this will not jump to mind as a place to go for ramen in the future. Portion was a lot smaller than I would have imagined for the price.

I'll probably give this place another chance when I have the time to go in person, but first impressions do not have me excited to return for the food."
"0FMte0z-repSVWSJ_BaQTg","Roger","n7V4cD-KqqE3OXk0irJTyA","GameWorks","2","2015-07-07 00:00:00","Saw a Groupon special for these guys. 20 bucks for an all day play card plus a 10 dollar gift card. I immediately grabbed 2 of them for my 2 boys ages 13 and 10. Thought it was an awesome deal until we showed up on a saturday. Yes I can understand that it was gonna be busy because of the fact that it was a saturday but that's not my gripe.

My gripe is that a lot of the games were not working. I would say about 40 percent were out of order. Even some of the newer games like the tank one my youngest noticed you can only go forward and cannot reverse so he was stuck behind a wall the whole game not able to do anything but get shot at. Another gripe is that other parents had the same idea so of course my kids had to wait for their kids to get off a game once they ran out of lives but in most cases, they would just keep swiping their card basically just hogging the game the whole time. There should be some kind of limit on how many times you can continue on an all day play pass for they can literally stay on a game the whole day which is rude in my opinion.

I also understand that since we had the unlimited play card it wouldnt generate any game tickets for obvious reasons. This did not bother me at all. Again, since some of the games were out of order, the kids tried to make the most of it. Even the standard interactive games like the basketball shot one only 4 out of the 6 was working but technically only 2 was worthy of playing due to those having a decent amount of balls to play with while the others had only 2 or 3. Looking around I saw some of the balls were stuck on top of the actual arcade. 

After about 90 minutes of playing the same games over and over again my kids were bored already to the point they just wanted to go home. Memo to the Gameworks staff. Dont you guys have some kind of technician that is on the clock repairing those games that are broke? At least a person that can keep the basketballs in order on the basketball arcade?

I am so disappointed from our visit that I dont see any reason to come back here. You guys should change your name to ""Gameswork"". Because after coming here I am left scratching my head thinking do any of the ""Games Work?""

Yelp 2015 Review #36 ""Gameworks?.........Sometimes.""
535 overall"
"0gXtDaDscQPs8tp-gckMiA","Rebecca","n7V4cD-KqqE3OXk0irJTyA","GameWorks","3","2016-09-11 00:00:00","We walk in and meet a nice lady where we buy the card with credits. First game we play and it takes our 9 credits and doesn't work. Well that was great. Credits do cost money it's not like we were on some play for so many hours thing. Things were pretty cool from there until we got to the giant fish reel. The reel says we won 70 tickets awesome, the box even says we were awarded 70. So of course since 70 is a lot lets play again. This time the giant reel says we won 60 tickets! Child is super excited and I look down at the box and it says 15 tickets awarded. WHAT?! So I got robbed of 9 credits and at least 45 tickets. Never thought to watch any of the other times we won tickets so who knows how many Game Works really stole from us. It was over all a good time, just left a bad feeling knowing we got ripped off."
"0Mfs3RDXYtuBnJ1RHWqeAA","Brendan","1K4qrnfyzKzGgJPBEcJaNQ","Chula Taberna Mexicana","4","2017-09-23 00:00:00","The neighbourhood definitely needed a Mexican restaurant and Chula does not disappoint! We got the guacamole to start (awesome), chicken enchilada and a bunch of different tacos. All the tacos were amazing but the beer battered fish ones were our favourite. Had churro sundae and fudge duo for dessert and both were phenomenal. We tried almost all of the margaritas and they were all great! The vibe here is great and the service was top notch. We had a very fun evening!"
"0o2K9yrsh6LOntzFlPiBKA","Kim","1WBkAuQg81kokZIPMpn9Zg","Charr An American Burger Bar","2","2015-09-05 00:00:00","Very friendly server but unable to overlook the well done burger I was served after ordering it medium.  A burger place should be able to get that part right. My daughter's medium-well burger was cooked to the same burnt on the outside, dry as dirt inside consistency. Truffle fries were delicious hence the two stars."
"0QfV3xDQ87R8mBqa1W7xlQ","Matt","n7V4cD-KqqE3OXk0irJTyA","GameWorks","4","2016-07-01 00:00:00","A fun place to be a kid again. Good way to spend a afternoon. I've been here a few times with a groupon and without one. If they have the $20 all day passes on groupon it's going to be your best value. Includes $10 worth of ticket or lounge play too. Has an assortment of arcade games and ticket machines. With bowling alley, bar and dining area in back. The venue is big lots of room to move around. Customer service is friendly and good overall. Usually highschool kids or young gamers work the floor. The food was your typical bar food. Nothing special. Service in the dining area was very good."
"0qWgfjxEUdcJqOnkb3KmJg","Barbara","1WBkAuQg81kokZIPMpn9Zg","Charr An American Burger Bar","3","2015-05-12 00:00:00","Charr is yet another in a long list of burger restaurants that have sprung up around Phoenix (and across the country). I'm convinced these places justify their high burger prices by adding the descriptor ""gourmet"" to their name, and offering a variety of burger options. Who would have imagined that $10+ for a cheeseburger would be a good deal??

We ordered the American Turkey burger, Charr Burger with cheese, and the kid's meal chicken fingers. We thought the turkey burger was a bit on the dry side. It comes with a garlic aioli, which was flavorful, but there was a lot of it! The cheeseburger was ordered medium, and was more medium-well. It was good, though. The little one loved the chicken fingers and all of us devoured the truffle fries!

Attentive service, nice ambience. Decent food."
"0UrlLMlUNQGU-O-iduRoag","Ally","n7V4cD-KqqE3OXk0irJTyA","GameWorks","5","2017-08-31 00:00:00","If you are looking for something new and different to do, you have to come here!! They have all types of arcade games for reasonable prices. 

Upon entering, you load a Gameworks card which will cost you a one time $2 fee. Then, you can add points into the card. The deal I purchased was 120 points for $22. 

On Tuesdays they have double ticket earnings which is a great deal! I enjoyed playing everything from ski ball to Mario kart to pinball and basketball. They offer so many classic arcade games for few points. Ski ball was only 2 points per turn so you can imagine how far your $22 go. Plus, you received so many tickets for playing that the prizes to choose from at the end were not just limited to candy."
"0xZ9qKUrlCxtiq75tX-IcQ","Robert","1WBkAuQg81kokZIPMpn9Zg","Charr An American Burger Bar","5","2017-07-20 00:00:00","Great place for a burger. Food is awesome and the truffle fries are top notch!

The bar has a small town vibe but uptown look. It is fully stocked with a great selection. They even have some rare whiskeys I like.

I have been here 3+ times. Joe came out from the kitchen this time and chatted with our family. It was a nice touch and made me want to write a review."
"0ygWZ_gXF8qTm0bY95JJqA","Cris","1WBkAuQg81kokZIPMpn9Zg","Charr An American Burger Bar","4","2013-07-14 00:00:00","I like this place. By FAR the best deal is the Hot Dog (Phoenix or Carolina style) for $6 which comes on the same huge pretzel bun as the burger and comes with excellent truffle fries.

The wedge ($6) is very small."
"13ZH2KHiPgCQ0aBvb1Q15g","Courtney","gAy4LYpsScrj8POnCW6btQ","Toast Cafe","5","2016-05-07 00:00:00","Brunch as amazing! We had the stuffed French toast and three eggs with hash browns. Both were so delicious. Service was great as well. We will definitely be back. :)"
"17KObD74hqrluv2TzXnF1Q","Salina","XOSRcvtaKc_Q5H1SAzN20A","East Coast Coffee","5","2016-01-23 00:00:00","Excellent Kona coffee. It's very hard to find Kona coffee that reminds me of my vacation in Hawaii. This place is spot on with the Kona coffee. Friendly owner and staff. The place is warm and inviting. I love coming here!"
"1Bljt-GngRP4XxkQFLnHHQ","Rod","-ooEO2YqDQVYNHnSF2BPfw","Restaurant Lucca","2","2013-12-08 00:00:00","Lucca is a small vibrant resto located in the heart of Little Italy so you'd expect them to nail it. As soon as you arrive they start you off with a complimentary order of bruchetta which is excellent and a very nice touch. 

For appetizers we ordered the Buffalo Mozzarella, made with beautiful fresh ingredients, it was amazing. I suggest that you ask them to add a bit of balsamic to the dish, a reliable source tells me that the previous chef use to serve it this way. We also ordered the calamari, which was very disappointing. I love calamari and I didn't even finish the plate. Wow, I can't believe that there was calamari in front of me and I didn't eat it! It was very chewy and not enjoyable, it tasted like something you'd pickup at the food court. 

For our main course my wife had the filet mignon and I had the lobster pasta. The filet was uninspiring and a bit salty and the lobster pasta evening more disappointing. The pasta was served with a lobster bisque for the sauce, a well done lobster bisque is one of my favorite things. Unfortunately this was very bland and uninteresting. The pieces of lobster in the pasta were few and far between. 

For dessert I had the chocolate lava cake.Chocolate cake is one of my favorite things on earth. Again this dish lacked flavour and any sort of punch or excitement. 

Overall I must say the meal was very uninspiring and with so many other great options available I will not be back to Lucca any time soon."
"1jtBf_tKym7ORUF08DbawA","Traci","1WBkAuQg81kokZIPMpn9Zg","Charr An American Burger Bar","1","2015-12-20 00:00:00","Don't order the ""fresh"" blue point oysters! They were so over priced and not worth the money. Pappadeaux are way better and even cheaper. The service wasn't the best and there was only us and another table during lunch on a Sunday. Bathroom area smelled so bad. They had no changing table in the restroom. I understand just another reason why we won't be going back. Go to Moon Valley Cafe and get a better hamburger for way cheaper."
"1oV4mY3GnNOZmGq8IYYL1w","Neil","n7V4cD-KqqE3OXk0irJTyA","GameWorks","1","2017-08-15 00:00:00","This place is absolutely atrocious!!!  It seemed like an arcade graveyard. 50-60% of the games either didn't work, didn't accept the card, or were just plain not on. I saw on at least 3 different occasions where a 2 person shooter game only had 1 gun..  We sat down on another 2 person game, and the start button only worked for one player. The calibrations were off on a couple games (shooting far left, and the crosshairs are all the way over to the right).  The basketball games with their sad, deflated basketballs, with pieces of the ball literally falling off. The one football game that did work, again had sad deflated footballs. However, I did see Tom Brady playing the game, and those deflated footballs really sent him over the top for the high score. This place is literally the biggest joke, and saddest excuse for an arcade that I've ever seen. This is Las Vegas... get your stuff together!  

Ps...  GameWorks management, don't bother responding to apologize, and urge me to check out your rewards program. We will never set foot in here again. And for the sake of everyone's sanity..  Take your business off of Groupon. You're not set up to be anything more than an old, tired, rundown graveyard for games. Time to close the doors, and replace it with a Dave and Busters."
"1PeCyTF3lhqiu1rnGc45dA","Alexandre","-ooEO2YqDQVYNHnSF2BPfw","Restaurant Lucca","5","2013-08-17 00:00:00","Everything on the menu is great. Terrific value for lunch with soup/salad, entree and tiramisu for ~$25+tx. One of Montreal's hidden gems. Everything here is good. Definitely worth trying!"
"1PfEtkSwdXiyeIqExpeKOA","Tae","n7V4cD-KqqE3OXk0irJTyA","GameWorks","3","2016-07-28 00:00:00","Decided to keep kids busy between basketball tournaments. This place is located in the back of Town Square. Plenty of parking and entry is in the front AND back. 

Tables in the dining area were nearly empty. Service was still almost nonexistent! When the waitress did come by, she was very laissez faire. She took orders and some items never came. We were rarely checked on in the few hours there. We didn't get the bill until we asked for it. As infrequently as we got serviced, the waitress is lucky we are honest people! 

Food is nothing to rave about. Typical quick fried and cooked food: burgers, fries, pizza, appetizers, salads... Plenty of tvs played sports. Plentynof tables for large groups. Side bar area for adults.

Game room is a bit stuffy. Games could be updated. One side room has a few bowling lanes. Another is dimly lit, quiet, and has computers for virtual game play. Kids loved it."
"1qnjqsXnU6Bg39mr6LYhyQ","Torrance","n7V4cD-KqqE3OXk0irJTyA","GameWorks","1","2014-08-04 00:00:00","Okay before i start this let me say that I AM glad that gameworks is back.  After nearly 3 years i really really....REALLY missed having it around.

Now let me begin...

First off, this place was a bigger letdown than i could've ever imagined. There couldn't possibly be any more than 45 arcade games on the game floor. The space that could be used to fit more game machines is currently taken up by over-optimistic restaurant space, unused party/banquet rooms and fancy looking walls. As it is at any gameworks a nice percentage of games were broken....but the difference between this gameworks and the others is that there's not much else to choose from....remember there's not even 50 machines on the floor which leads to my next complaint....a 2-3 person line to play literally any game on the floor. I'm not one to complain about waiting his turn, but this is a first for me at a gameworks. Arcade favorites like sonic the fighters, afterburner climax, marvel vs. Capcom, mortal kombat, street fighter, need for speed, f1 Ferrari challenge, and many many others are all MISSING from the roster. They used to be at the gameworks on the strip....i just don't understand why they wouldn't be here. The ticket/prize games are usually separated at most gameworks locations. Since this one is soooo tiny, they all just blend together. The prize redemption area is soooo small. I was tripping over small children and a couple of large, buff, angry dudes. Very uncomfortable...i never even got to choose my prize. More tickets for next time i suppose... Oh, and gamer beware. Many games will deduct points and the game will never acknowledge that you payed. Luckily the managers were able to see the cards swipe history and refund the card. in comparison to any other gameworks in the country....This game floor gets an F. 

The e-sports room is passable....literally...you can pass right by it and not even notice it's there. Its a decent price to rent an xbox and tv but honestly the game roster is small. I'm not sure if you can bring your own or not. Theres a total of 4 stations with televisions. Imho they should have at least 7 or 8 but that's just my two cents. They have a 60pc lan party...which is 40 less than what was advertised last year. Which reminds me...they told us on the gameworks facebook and website that there would be a laser tag arena.....which...there is none. Very disappointing. The e-sports will definitely bring in revenue. It just needs more games and console/tv stations. The e-sport section gets a C.

The bowling ally and pool table area is nice. And it has its own bar which is cool since you don't have to leave to goto the game floor for a drink. You rent your shoes at the door. The alley lanes are very narrow compare to say...the station casinos. They're basically miniature bowling lanes....i haven't played on the lanes yet so its not really fair for me to review it. Id say a B just because it exists.

Lastly, the overall service and restaurant. I didn't eat at the restaurant yet...and i don't believe i ever will. Allow me to explain. I asked the bartender at the bowling center for a glass of water. He immediately tells me itll be ""a while"" before he can serve me the water. Which is fine....note that he had a group of 3 people to serve before me and as soon as he was done serving them...""a while"" never came for me. No biggie. I guess good service is reserved for paying bar patrons. After spending 100 on points (which is ridiculous. I've never spent more than 40 bucks at any gameworks and i usually get hours of entertainment!) you'd think you would be treated half as decently as a hole in the wall bar. Later on i noticed i was hungry and i wanted something light, so i grabbed some wetzels pretzels which isn't far from gameworks.....BIG MISTAKE. I was just about halfway through my pretzel and walking back into gameworks when i was met with the most absurd statement: ""we don't allow outside food. Sorry."" excuse me? I just spent how much money.....to play broken games?! I'm sure you wont mind if i finish my pretzel while i walk through your precious, oversized restaurant past your pitiful, undersized gamefloor, and get in my car. Service gets a D. 

Worst gameworks experience I've ever had. I have been going to various gameworks locations since i was 9 years old. I'm 26 now. I've never seen anything like this. It's as if they only care about making money. I wish sega never sold gameworks to espn. I hope this helps them make better decisions in the future and fall back to their former glory! Long live gameworks!

  i give them six months to add more games before i write them off my hangout spots list."
"1vtp3XZlzUuSGzNkawu88A","Jess","1WBkAuQg81kokZIPMpn9Zg","Charr An American Burger Bar","5","2015-07-02 00:00:00","Love the burgers here, the fries are good too! I've only gone for lunch and I always get the same thing because I like it so much!"
"1VWu4qVCBZAYwUgW4BF2Mw","R","n7V4cD-KqqE3OXk0irJTyA","GameWorks","1","2017-05-10 00:00:00","This seemingly fun place that is hampered by a completely inept staff and a bunch of games in various states of disrepair.

I could've gotten over the staff being crappy if I could just play games that actually worked. I'll just go to the Pinball Hall of Fame to satisfy my nerdy urges properly."
"1w32_M1nLmQ2yqGQTL_40Q","John","1WBkAuQg81kokZIPMpn9Zg","Charr An American Burger Bar","5","2015-05-27 00:00:00","Wow they have a great hamburger now, even my wife is telling me so and she's a salad person.  I ordered mid-rare and it was perfect."
"1x-9UrxGrkQsFMev95q5gw","Kevin","n7V4cD-KqqE3OXk0irJTyA","GameWorks","3","2017-07-08 00:00:00","I can't give an all too extensive review because we were mostly secluded in the billiards area of the main bar (by the entry way). It was date night but there was a long pause between dinner and the movie so we tried our hand at gaming. We walked through, a lot of seemingly unsupervised teens but no issues and a few families. We decided on pool and beers. It was $5 per hour for the table and about $6.50 per beer, but of course. The table was a little rough but we weren't auditioning for ""The Color of Money"" so no worries. If the bartender had been more attentive (or the bar back to be specific), we'd have spent a lot more to keep the beer flowing. It also took a bit to check out and settle the table tab, because again, the Bar Back was preoccupied with... something, whatever it was, keeping his conversation with fellow employees on point and fairly oblivious to customers. The bar was pretty empty for a Friday evening. Overall,  an 'okay' experience for a limited one."
"1XkrIaH3wN_n-SK1SbIKdg","Jonathan","1WBkAuQg81kokZIPMpn9Zg","Charr An American Burger Bar","3","2014-05-25 00:00:00","My wife and I visited Charr with a couple friends for restaurant week this week. We sat out front and waited for our waiter to take our drink orders... And waited... And waited.

Nearly 10 minutes after we were seated, I try to flag someone down through the front window, and finally our waitress arrived and took our orders. She apologized for the delay, said something about how she had to train someone to enter food orders. It didn't seem exceptionally busy, so I think they just forgot we were seated. I thought this might be an isolated incident, but then I watched another man with a small child get seated near us a half hour later and end up leaving before a waitress ever arrived because the child couldn't wait any longer to eat... I see from the reviews other people have had similar experiences. Maybe the wait staff they're training will improve the service here, but it wasn't great when we went.

The reason I am giving 3 stars is the food. The Carolina burger was delicious... The sauce and bacon were savory, the garlic knot bun was perfect. Their fries were great and they give you plenty of them.

I'd recommend this place for the food, but expect to wait for it."
"1XoCYOBiG6yYO2W3qnC8YA","Jason","1WBkAuQg81kokZIPMpn9Zg","Charr An American Burger Bar","4","2015-04-16 00:00:00","Just left charr. Had a great burger at the bar. service was good, food was good and I will diffently come back."
"1Ydc4NN2pZOStnViOlLIOg","Bob","1_3nOM7s9WqnJWTNu2-i8Q","Le Bistro Balmoral","4","2016-06-25 00:00:00","Had a wonderful time here, wife and l on vacation for the F1 race, so the city was abuzz with activity and closed down streets for the many festivals nearby.
So because of that, service was a bit slow understandably, our server apologized for that, so no knock there. Prices weren't too overly expensive, as we ordered up a bottle of Moet & Chandon Imperial to go with our fantastic French Onion soup and a cheese plate, salad and a veggie platter. Salad was good as well. Great atmosphere, (we dined al fresco) friendly staff, l recommend this place."
"214hLfaxoLdEndSlOoyk0w","Sonia","FXHfcFVEfI1vVngW2gVOpw","Bampot House of Tea & Board Games","3","2015-03-14 00:00:00","Service at Bampot has never been excellent, but when it takes 25 minutes to just get a cup to put water in, that sort of brings it down to a whole new level. 

My boyfriend and I went last night, because I had a craving for their pita and hummus (they put raisins and nuts of some sort in their pita, it's delicious). While we were waiting for our food, we decided that we would like a glass of water. 

Bampot has a tank of water at the front, and you serve yourself. Usually this works out great, but last night when we arrived, they were out of cups. So we asked our server if he could bring some out. He said sure thing... five minutes later, he still hadn't brought them out. We weren't asking for him to do anything particularly time-consuming, we just wanted a vessel to fill with water to drink. 

So we asked another employee (this took awhile, because employees are almost always at the back, not out where the customers are, so we had to wait for someone to come out). She said sure thing, she'd grab some right away... again, no cups. 

Finally, a third employee came out (she's actually one of the co-owners of the place) and we asked her for cups. She was able to provide, for which I was thankful. 

Nonetheless, getting a glass of water should not be a 25 minute process, and for that Bampot has lost a star."
"243VUTbQBl8ozvZC3fV0zg","Nicole","tRVx2c89coruPRwYhGTcTw","Yuzu","5","2017-10-03 00:00:00","Stopped in on a Thursday to try the ramen and wasn't disappointed!! I ordered it vegan and was very happy that they were happy too accommodate. A lot of places act like vegan is a foreign cuisine or, lie.
The drinks were good and the bartender was very sweet and friendly! Will return!"
"2bePwIFOZlNHHUXFzrs-bg","Allen","n7V4cD-KqqE3OXk0irJTyA","GameWorks","3","2017-06-14 00:00:00","It's basically a smaller version of Dave & Busters. It comes with a bar and a small dining area. 

Food: The food there is okay. Pricing is alright for the portions you get. I wouldn't eat here again. I would just grab food somewhere in the plaza. 

Location: Great area, located right next to the movie theater. You get the best of both worlds. Teenagers, kids and adults can all enjoy a movie then come here afterwards. 

Games: Variety of games to play. From winning tickets or just playing multiplayer. Most of the games are up to date and new. They still have some of your old school arcade games as well. A small bowling alley is located inside and a cool ride inside as well that is extra money. They even have one of those motion rides where you can seat yourself.

Overall, not too bad but still feels like they are missing something."
